"Variable","Missing_Count","Missing_Percent"
"Timestamp",1500,4.17
"ServerID",0,0
"ClusterID",0,0
"CPU_Usage_Percent",1800,5
"Memory_Usage_GB",1800,5
"Disk_IO_Read_Mbps",1800,5
"Disk_IO_Write_Mbps",1800,5
"Disk_Queue_Depth",1800,5
"Temperature_Celsius",1800,5
"Power_Consumption_Watts",1800,5
"Fan_Speed_RPM",1800,5
"Uptime_Hours",1800,5
"Process_Count",1800,5
"Network_In_Mbps",1800,5
"Network_Out_Mbps",1800,5
"Packet_Loss_Rate",1800,5
"Latency_ms",1800,5
"Connections_Established",1800,5
"Kernel_Errors",1800,5
"App_Crash_Count",1800,5
"Disk_Errors_Corrected",1800,5
"Security_Alerts",1800,5
"Memory_Page_Faults",1800,5
"Sensor_ID_Check",0,0
"Log_Entry_Details",325,0.9
